East Germany, Live births by calendar year, age reached during the year (ARDY) and birth cohort (vertical parallelograms)
Last modified: 04/02/2019
Year  ARDY   Cohort       Total
1959    24    1935     23117.00
1959    25    1934     21184.00
1959    26    1933     16047.00
1959    27    1932     14809.00
1959    28    1931     13802.00
1959    29    1930     13145.00
1959    30    1929     11390.00
1959    31    1928     10221.00
1959    32    1927      8514.00
1959    33    1926      7714.00
1959    34    1925      6902.00
1959    35    1924      5657.00
1959    36    1923      5015.00
1959    37    1922      4539.00
1959    38    1921      4241.00
1959    39    1920      3615.00
1959    40    1919      2173.00
1959    41    1918       886.00
1959    42    1917       658.00
1959    43    1916       487.00
1959    44    1915       402.00
1959    45    1914       303.00
1959    46    1913       128.35
1959    47    1912        69.59
1959    48    1911        33.67
1959    49    1910        17.95
1959    50    1909         9.31
1959    51    1908         4.71
1959    52    1907         2.41
1959    53    1906         1.26
1959    54    1905         0.58
1959    55+   1904-        0.18
1960    12-   1948+        0.00
1960    13    1947         0.00
1960    14    1946         0.00
1960    15    1945        58.00
1960    16    1944       466.00
1960    17    1943      2292.00
1960    18    1942      6499.02
1960    19    1941     15300.05
1960    20    1940     22093.08
1960    21    1939     25018.09
1960    22    1938     24000.08
1960    23    1937     23108.08
1960    24    1936     22459.08
1960    25    1935     21436.08
1960    26    1934     19119.06
1960    27    1933     14504.05
1960    28    1932     12943.04
1960    29    1931     11981.04
1960    30    1930     11574.04
1960    31    1929      9805.04
1960    32    1928      8889.03
1960    33    1927      7200.03
1960    34    1926      6593.02
1960    35    1925      5769.02
1960    36    1924      4808.01
1960    37    1923      4190.01
1960    38    1922      3672.01
1960    39    1921      3211.01
1960    40    1920      2655.01
1960    41    1919      1582.01
1960    42    1918       656.01
1960    43    1917       408.00
1960    44    1916       265.00
1960    45    1915       200.00
1960    46    1914       107.03
1960    47    1913        59.62
1960    48    1912        31.80
1960    49    1911        15.42
1960    50    1910         8.37
1960    51    1909         4.47
1960    52    1908         2.32
1960    53    1907         1.21
1960    54    1906         0.59
1960    55+   1905-        0.17
1961    12-   1949+        0.00
1961    13    1948         0.00
1961    14    1947         0.00
1961    15    1946        70.02
1961    16    1945       412.12
1961    17    1944      2490.72
1961    18    1943      6989.02
1961    19    1942     12917.73
1961    20    1941     21920.34
1961    21    1940     26451.65
1961    22    1939     27044.82
1961    23    1938     25140.27
1961    24    1937     22746.58
1961    25    1936     21519.22
1961    26    1935     20453.92
1961    27    1934     17377.02
1961    28    1933     12785.70
1961    29    1932     11668.37
1961    30    1931     10641.08
1961    31    1930     10134.93
1961    32    1929      8693.52
1961    33    1928      7581.19
1961    34    1927      6264.81
1961    35    1926      5759.66
1961    36    1925      4914.42
1961    37    1924      4020.16
1961    38    1923      3368.98
1961    39    1922      3004.87
1961    40    1921      2476.72
1961    41    1920      1945.57
1961    42    1919      1062.30
1961    43    1918       445.13
1961    44    1917       204.06
1961    45    1916       139.04
1961    46    1915        72.67
1961    47    1914        47.72
1961    48    1913        25.51
1961    49    1912        13.56
1961    50    1911         6.74
1961    51    1910         3.82
1961    52    1909         2.14
1961    53    1908         1.15
1961    54    1907         0.56
1961    55+   1906-        0.18
1962    12-   1950+        0.00
1962    13    1949         0.00
1962    14    1948         0.00
1962    15    1947        89.01
1962    16    1946       374.05
1962    17    1945      1786.24
1962    18    1944      7292.97
1962    19    1943     13527.82
1962    20    1942     17850.40
1962    21    1941     25084.37
1962    22    1940     27522.70
1962    23    1939     26960.62
1962    24    1938     23960.21
1962    25    1937     21336.86
1962    26    1936     19901.68
1962    27    1935     17646.37
1962    28    1934     15396.07
1962    29    1933     11170.50
1962    30    1932     10246.37
1962    31    1931      9058.21
1962    32    1930      8683.17
1962    33    1929      7424.00
1962    34    1928      6376.86
1962    35    1927      5238.70
1962    36    1926      4659.63
1962    37    1925      4059.55
1962    38    1924      3191.43
1962    39    1923      2711.36
1962    40    1922      2192.29
1962    41    1921      1762.23
1962    42    1920      1334.18
1962    43    1919       665.09
1962    44    1918       256.03
1962    45    1917        85.01
1962    46    1916        47.32
1962    47    1915        36.02
1962    48    1914        24.71
1962    49    1913        13.81
1962    50    1912         7.68
1962    51    1911         3.98
1962    52    1910         2.33
1962    53    1909         1.31
1962    54    1908         0.65
1962    55+   1907-        0.20
1963    12-   1951+        0.00
1963    13    1950         0.00
1963    14    1949         0.00
1963    15    1948        93.03
1963    16    1947       524.14
1963    17    1946      1802.49
1963    18    1945      5279.43
1963    19    1944     14010.82
1963    20    1943     19094.19
1963    21    1942     20620.61
1963    22    1941     26800.29
1963    23    1940     27137.38
1963    24    1939     26280.14
1963    25    1938     22745.19
1963    26    1937     19714.36
1963    27    1936     18209.95
1963    28    1935     16352.45
1963    29    1934     14154.85
1963    30    1933     10188.77
1963    31    1932      9138.48
1963    32    1931      8044.19
1963    33    1930      7912.15
1963    34    1929      6391.74
1963    35    1928      5766.57
1963    36    1927      4648.26
1963    37    1926      3984.08
1963    38    1925      3437.93
1963    39    1924      2631.72
1963    40    1923      2067.56
1963    41    1922      1632.44
1963    42    1921      1254.34
1963    43    1920       930.25
1963    44    1919       424.11
1963    45    1918       118.04
1963    46    1917        31.99
1963    47    1916        17.57
1963    48    1915        12.64
1963    49    1914         8.64
1963    50    1913         4.99
1963    51    1912         2.93
1963    52    1911         1.61
1963    53    1910         0.98
1963    54    1909         0.53
1963    55+   1908-        0.16
1964    12-   1952+        0.00
1964    13    1951         0.00
1964    14    1950         0.00
1964    15    1949        82.01
1964    16    1948       490.04
1964    17    1947      2354.21
1964    18    1946      4613.41
1964    19    1945     10030.90
1964    20    1944     19365.73
1964    21    1943     21666.93
1964    22    1942     20699.85
1964    23    1941     25512.27
1964    24    1940     25550.27
1964    25    1939     23555.10
1964    26    1938     20447.82
1964    27    1937     17473.56
1964    28    1936     16001.42
1964    29    1935     14284.27
1964    30    1934     12344.10
1964    31    1933      9031.80
1964    32    1932      7894.70
1964    33    1931      7092.63
1964    34    1930      6702.59
1964    35    1929      5635.50
1964    36    1928      4824.43
1964    37    1927      3878.35
1964    38    1926      3290.29
1964    39    1925      2712.24
1964    40    1924      1975.18
1964    41    1923      1495.13
1964    42    1922      1148.10
1964    43    1921       840.08
1964    44    1920       554.05
1964    45    1919       228.03
1964    46    1918        42.20
1964    47    1917        19.02
1964    48    1916        10.64
1964    49    1915         7.83
1964    50    1914         5.48
1964    51    1913         3.20
1964    52    1912         1.89
1964    53    1911         1.02
1964    54    1910         0.55
1964    55+   1909-        0.18
1965    12-   1953+        0.00
1965    13    1952         0.00
1965    14    1951         0.00
1965    15    1950       101.01
1965    16    1949       602.07
1965    17    1948      2446.28
1965    18    1947      6520.77
1965    19    1946      9003.06
1965    20    1945     13589.60
1965    21    1944     21257.50
1965    22    1943     21776.55
1965    23    1942     20095.36
1965    24    1941     24054.82
1965    25    1940     23752.79
1965    26    1939     21694.54
1965    27    1938     18152.13
1965    28    1937     15453.81
1965    29    1936     13872.62
1965    30    1935     12299.45
1965    31    1934     10635.25
1965    32    1933      7556.89
1965    33    1932      6623.78
1965    34    1931      5992.70
1965    35    1930      5608.66
1965    36    1929      4581.54
1965    37    1928      3887.45
1965    38    1927      3041.36
1965    39    1926      2535.30
1965    40    1925      2045.24
1965    41    1924      1413.16
1965    42    1923       965.11
1965    43    1922       699.08
1965    44    1921       433.05
1965    45    1920       255.03
1965    46    1919        65.18
1965    47    1918        20.17
1965    48    1917         9.82
1965    49    1916         5.77
1965    50    1915         4.39
1965    51    1914         3.13
1965    52    1913         1.84
1965    53    1912         1.04
1965    54    1911         0.51
1965    55+   1910-        0.16
1966    12-   1954+        0.00
1966    13    1953         0.00
1966    14    1952         0.00
1966    15    1951        85.00
1966    16    1950       560.00
1966    17    1949      2562.00
1966    18    1948      6192.00
1966    19    1947     11883.00
1966    20    1946     12056.00
1966    21    1945     14609.00
1966    22    1944     21133.00
1966    23    1943     20959.00
1966    24    1942     19208.00
1966    25    1941     22107.00
1966    26    1940     21641.00
1966    27    1939     19504.00
1966    28    1938     15977.00
1966    29    1937     13166.00
1966    30    1936     12074.00
1966    31    1935     10495.00
1966    32    1934      8884.00
1966    33    1933      6312.00
1966    34    1932      5591.00
1966    35    1931      4976.00
1966    36    1930      4536.00
1966    37    1929      3632.00
1966    38    1928      3019.00
1966    39    1927      2174.00
1966    40    1926      1760.00
1966    41    1925      1146.00
1966    42    1924       726.00
1966    43    1923       441.00
1966    44    1922       285.00
1966    45    1921       152.00
1966    46    1920        65.19
1966    47    1919        26.34
1966    48    1918         8.85
1966    49    1917         4.58
1966    50    1916         2.79
1966    51    1915         2.18
1966    52    1914         1.56
1966    53    1913         0.90
1966    54    1912         0.46
1966    55+   1911-        0.14
1967    12-   1955+        0.00
1967    13    1954         0.00
1967    14    1953         0.00
1967    15    1952        92.00
1967    16    1951       480.00
1967    17    1950      2632.02
1967    18    1949      6908.06
1967    19    1948     11768.09
1967    20    1947     15849.12
1967    21    1946     13261.10
1967    22    1945     14721.11
1967    23    1944     20080.16
1967    24    1943     19429.16
1967    25    1942     17208.13
1967    26    1941     19621.16
1967    27    1940     18464.15
1967    28    1939     16354.13
1967    29    1938     13485.11
1967    30    1937     11268.09
1967    31    1936      9897.07
1967    32    1935      8556.07
1967    33    1934      7186.06
1967    34    1933      5101.04
1967    35    1932      4470.04
1967    36    1931      3703.03
1967    37    1930      3471.03
1967    38    1929      2780.02
1967    39    1928      2145.02
1967    40    1927      1380.01
1967    41    1926      1024.01
1967    42    1925       631.01
1967    43    1924       394.00
1967    44    1923       219.00
1967    45    1922       134.00
1967    46    1921        52.54
1967    47    1920        30.23
1967    48    1919        11.83
1967    49    1918         3.93
1967    50    1917         2.03
1967    51    1916         1.25
1967    52    1915         1.00
1967    53    1914         0.71
1967    54    1913         0.38
1967    55+   1912-        0.12
1968    12-   1956+        0.00
1968    13    1955         0.00
1968    14    1954         0.00
1968    15    1953        83.00
1968    16    1952       467.00
1968    17    1951      2528.02
1968    18    1950      7466.06
1968    19    1949     13286.11
1968    20    1948     16238.14
1968    21    1947     18110.15
1968    22    1946     13463.11
1968    23    1945     13938.12
1968    24    1944     18740.15
1968    25    1943     17381.14
1968    26    1942     15125.12
1968    27    1941     17261.14
1968    28    1940     15753.12
1968    29    1939     13872.11
1968    30    1938     11234.09
1968    31    1937      9380.07
1968    32    1936      8372.06
1968    33    1935      7176.06
1968    34    1934      6047.05
1968    35    1933      4289.03
1968    36    1932      3666.03
1968    37    1931      3029.03
1968    38    1930      2661.03
1968    39    1929      2127.01
1968    40    1928      1377.02
1968    41    1927       798.00
1968    42    1926       552.00
1968    43    1925       351.01
1968    44    1924       193.00
1968    45    1923       111.00
1968    46    1922        31.26
1968    47    1921        18.22
1968    48    1920        10.16
1968    49    1919         4.00
1968    50    1918         1.37
1968    51    1917         0.75
1968    52    1916         0.49
1968    53    1915         0.40
1968    54    1914         0.27
1968    55+   1913-        0.09
1969    12-   1957+        0.00
1969    13    1956         0.00
1969    14    1955         0.00
1969    15    1954        86.00
1969    16    1953       456.00
1969    17    1952      2580.00
1969    18    1951      7655.00
1969    19    1950     15362.00
1969    20    1949     19163.00
1969    21    1948     18308.00
1969    22    1947     17768.00
1969    23    1946     12349.00
1969    24    1945     12399.00
1969    25    1944     16594.00
1969    26    1943     15422.00
1969    27    1942     13016.00
1969    28    1941     14604.00
1969    29    1940     13249.00
1969    30    1939     11684.00
1969    31    1938      9419.00
1969    32    1937      7708.00
1969    33    1936      6766.00
1969    34    1935      5803.00
1969    35    1934      4934.00
1969    36    1933      3401.00
1969    37    1932      2824.00
1969    38    1931      2373.00
1969    39    1930      1915.00
1969    40    1929      1238.00
1969    41    1928       743.00
1969    42    1927       480.00
1969    43    1926       280.00
1969    44    1925       157.00
1969    45    1924        99.00
1969    46    1923        32.63
1969    47    1922        19.39
1969    48    1921        11.66
1969    49    1920         6.63
1969    50    1919         2.64
1969    51    1918         0.91
1969    52    1917         0.49
1969    53    1916         0.31
1969    54    1915         0.23
1969    55+   1914-        0.09
1970    12-   1958+        0.00
1970    13    1957         0.00
1970    14    1956         0.00
1970    15    1955        74.00
1970    16    1954       456.01
1970    17    1953      2602.02
1970    18    1952      7855.07
1970    19    1951     16303.14
1970    20    1950     22033.18
1970    21    1949     21386.18
1970    22    1948     18079.15
1970    23    1947     16064.13
1970    24    1946     11142.10
1970    25    1945     11061.09
1970    26    1944     14235.12
1970    27    1943     13006.11
1970    28    1942     10957.10
1970    29    1941     12274.10
1970    30    1940     11237.09
1970    31    1939      9837.08
1970    32    1938      7879.07
1970    33    1937      6426.05
1970    34    1936      5693.05
1970    35    1935      4861.04
1970    36    1934      3888.03
1970    37    1933      2743.02
1970    38    1932      2168.02
1970    39    1931      1707.01
1970    40    1930      1170.01
1970    41    1929       737.01
1970    42    1928       441.00
1970    43    1927       269.01
1970    44    1926       167.00
1970    45    1925       106.00
1970    46    1924        31.65
1970    47    1923        17.33
1970    48    1922        10.12
1970    49    1921         6.06
1970    50    1920         3.48
1970    51    1919         1.40
1970    52    1918         0.49
1970    53    1917         0.26
1970    54    1916         0.15
1970    55+   1915-        0.07
1971    12-   1959+        0.00
1971    13    1958         0.00
1971    14    1957         0.00
1971    15    1956        97.00
1971    16    1955       489.00
1971    17    1954      2707.00
1971    18    1953      8345.00
1971    19    1952     16771.00
1971    20    1951     22692.00
1971    21    1950     24213.00
1971    22    1949     20502.00
1971    23    1948     16000.00
1971    24    1947     14136.00
1971    25    1946      9465.00
1971    26    1945      9460.00
1971    27    1944     12067.00
1971    28    1943     10794.00
1971    29    1942      9200.00
1971    30    1941     10307.00
1971    31    1940      9382.00
1971    32    1939      8000.00
1971    33    1938      6579.00
1971    34    1937      5327.00
1971    35    1936      4565.00
1971    36    1935      3927.00
1971    37    1934      3171.00
1971    38    1933      2139.00
1971    39    1932      1636.00
1971    40    1931      1102.00
1971    41    1930       714.00
1971    42    1929       474.00
1971    43    1928       307.00
1971    44    1927       147.00
1971    45    1926        83.00
1971    46    1925        32.00
1971    47    1924        17.41
1971    48    1923         9.79
1971    49    1922         5.85
1971    50    1921         3.57
1971    51    1920         2.08
1971    52    1919         0.84
1971    53    1918         0.29
1971    54    1917         0.14
1971    55+   1916-        0.05
1972    12-   1960+        0.00
1972    13    1959         0.00
1972    14    1958         0.00
1972    15    1957        74.00
1972    16    1956       446.01
1972    17    1955      2381.07
1972    18    1954      7502.22
1972    19    1953     15047.45
1972    20    1952     20686.62
1972    21    1951     21615.65
1972    22    1950     20216.61
1972    23    1949     16252.49
1972    24    1948     12505.37
1972    25    1947     10669.32
1972    26    1946      6931.21
1972    27    1945      6793.21
1972    28    1944      8368.25
1972    29    1943      7791.23
1972    30    1942      6313.19
1972    31    1941      6836.20
1972    32    1940      6140.19
1972    33    1939      5256.16
1972    34    1938      4260.13
1972    35    1937      3490.11
1972    36    1936      2948.09
1972    37    1935      2447.07
1972    38    1934      1826.06
1972    39    1933      1240.04
1972    40    1932       851.03
1972    41    1931       602.02
1972    42    1930       434.01
1972    43    1929       244.01
1972    44    1928       139.01
1972    45    1927        68.01
1972    46    1926        29.23
1972    47    1925        17.12
1972    48    1924         9.10
1972    49    1923         5.05
1972    50    1922         3.00
1972    51    1921         1.82
1972    52    1920         1.06
1972    53    1919         0.42
1972    54    1918         0.13
1972    55+   1917-        0.04
1973    12-   1961+        0.00
1973    13    1960         0.00
1973    14    1959         0.00
1973    15    1958        50.00
1973    16    1957       411.00
1973    17    1956      2032.00
1973    18    1955      6844.00
1973    19    1954     14195.00
1973    20    1953     19069.00
1973    21    1952     20436.00
1973    22    1951     19485.00
1973    23    1950     17172.00
1973    24    1949     13592.00
1973    25    1948     10139.00
1973    26    1947      8203.00
1973    27    1946      5356.00
1973    28    1945      4996.00
1973    29    1944      6120.00
1973    30    1943      5321.00
1973    31    1942      4426.00
1973    32    1941      4569.00
1973    33    1940      3924.00
1973    34    1939      3406.00
1973    35    1938      2618.00
1973    36    1937      2068.00
1973    37    1936      1769.00
1973    38    1935      1315.00
1973    39    1934      1030.00
1973    40    1933       603.00
1973    41    1932       424.00
1973    42    1931       317.00
1973    43    1930       205.00
1973    44    1929       113.00
1973    45    1928        71.00
1973    46    1927        25.22
1973    47    1926        14.44
1973    48    1925         7.99
1973    49    1924         4.14
1973    50    1923         2.29
1973    51    1922         1.37
1973    52    1921         0.85
1973    53    1920         0.49
1973    54    1919         0.19
1973    55+   1918-        0.04
1974    12-   1962+        0.00
1974    13    1961         0.00
1974    14    1960         0.00
1974    15    1959        56.00
1974    16    1958       392.00
1974    17    1957      2076.00
1974    18    1956      6437.00
1974    19    1955     13661.00
1974    20    1954     18596.00
1974    21    1953     19965.00
1974    22    1952     19006.00
1974    23    1951     17710.00
1974    24    1950     15741.00
1974    25    1949     11846.00
1974    26    1948      8592.00
1974    27    1947      6857.00
1974    28    1946      4319.00
1974    29    1945      4151.00
1974    30    1944      4952.00
1974    31    1943      4375.00
1974    32    1942      3506.00
1974    33    1941      3717.00
1974    34    1940      3210.00
1974    35    1939      2574.00
1974    36    1938      2000.00
1974    37    1937      1477.00
1974    38    1936      1189.00
1974    39    1935       952.00
1974    40    1934       672.00
1974    41    1933       425.00
1974    42    1932       300.00
1974    43    1931       168.00
1974    44    1930       104.00
1974    45    1929        66.00
1974    46    1928        16.52
1974    47    1927         8.17
1974    48    1926         4.54
1974    49    1925         2.54
1974    50    1924         1.37
1974    51    1923         0.81
1974    52    1922         0.51
1974    53    1921         0.33
1974    54    1920         0.17
1974    55+   1919-        0.04
1975    12-   1963+        0.00
1975    13    1962         0.00
1975    14    1961         0.00
1975    15    1960        63.00
1975    16    1959       430.00
1975    17    1958      1939.00
1975    18    1957      6225.00
1975    19    1956     12852.00
1975    20    1955     18118.00
1975    21    1954     19423.00
1975    22    1953     19667.00
1975    23    1952     18428.00
1975    24    1951     16954.00
1975    25    1950     14493.00
1975    26    1949     10429.00
1975    27    1948      7351.00
1975    28    1947      5925.00
1975    29    1946      3637.00
1975    30    1945      3516.00
1975    31    1944      4045.00
1975    32    1943      3391.00
1975    33    1942      2821.00
1975    34    1941      2812.00
1975    35    1940      2294.00
1975    36    1939      1910.00
1975    37    1938      1436.00
1975    38    1937      1106.00
1975    39    1936       803.00
1975    40    1935       663.00
1975    41    1934       445.00
1975    42    1933       263.00
1975    43    1932       155.00
1975    44    1931       117.00
1975    45    1930        42.00
1975    46    1929        19.01
1975    47    1928        11.38
1975    48    1927         6.24
1975    49    1926         3.69
1975    50    1925         2.14
1975    51    1924         1.17
1975    52    1923         0.68
1975    53    1922         0.42
1975    54    1921         0.24
1975    55+   1920-        0.08
1976    12-   1964+        0.00
1976    13    1963         0.00
1976    14    1962         0.00
1976    15    1961        68.00
1976    16    1960       479.00
1976    17    1959      2147.00
1976    18    1958      5977.00
1976    19    1957     12707.00
1976    20    1956     18101.00
1976    21    1955     20387.00
1976    22    1954     20830.00
1976    23    1953     20262.00
1976    24    1952     19053.00
1976    25    1951     16548.00
1976    26    1950     13261.00
1976    27    1949      9734.00
1976    28    1948      6619.00
1976    29    1947      5112.00
1976    30    1946      3196.00
1976    31    1945      2961.00
1976    32    1944      3498.00
1976    33    1943      3028.00
1976    34    1942      2286.00
1976    35    1941      2304.00
1976    36    1940      1881.00
1976    37    1939      1499.00
1976    38    1938      1074.00
1976    39    1937       796.00
1976    40    1936       593.00
1976    41    1935       429.00
1976    42    1934       303.00
1976    43    1933       173.00
1976    44    1932        88.00
1976    45    1931        51.00
1976    46    1930        17.16
1976    47    1929         9.26
1976    48    1928         5.16
1976    49    1927         2.74
1976    50    1926         1.63
1976    51    1925         0.96
1976    52    1924         0.53
1976    53    1923         0.31
1976    54    1922         0.17
1976    55+   1921-        0.07
1977    12-   1965+        0.00
1977    13    1964         0.00
1977    14    1963         0.00
1977    15    1962        80.00
1977    16    1961       564.00
1977    17    1960      2281.00
1977    18    1959      6790.00
1977    19    1958     12887.00
1977    20    1957     18700.00
1977    21    1956     21715.00
1977    22    1955     23055.00
1977    23    1954     23169.00
1977    24    1953     22257.00
1977    25    1952     19544.00
1977    26    1951     16460.00
1977    27    1950     13276.00
1977    28    1949      9482.00
1977    29    1948      6508.00
1977    30    1947      5008.00
1977    31    1946      3144.00
1977    32    1945      2813.00
1977    33    1944      3194.00
1977    34    1943      2633.00
1977    35    1942      2013.00
1977    36    1941      2051.00
1977    37    1940      1635.00
1977    38    1939      1288.00
1977    39    1938       881.00
1977    40    1937       588.00
1977    41    1936       444.00
1977    42    1935       306.00
1977    43    1934       180.00
1977    44    1933        99.00
1977    45    1932        59.00
1977    46    1931        20.59
1977    47    1930        12.37
1977    48    1929         6.72
1977    49    1928         3.77
1977    50    1927         2.01
1977    51    1926         1.19
1977    52    1925         0.70
1977    53    1924         0.38
1977    54    1923         0.20
1977    55+   1922-        0.07
1978    12-   1966+        0.00
1978    13    1965         0.00
1978    14    1964         0.00
1978    15    1963        88.00
1978    16    1962       608.00
1978    17    1961      2505.00
1978    18    1960      7081.00
1978    19    1959     14444.00
1978    20    1958     19364.00
1978    21    1957     22256.00
1978    22    1956     23536.00
1978    23    1955     23690.00
1978    24    1954     22063.00
1978    25    1953     20120.00
1978    26    1952     17286.00
1978    27    1951     14276.00
1978    28    1950     11108.00
1978    29    1949      7915.00
1978    30    1948      5407.00
1978    31    1947      4161.00
1978    32    1946      2551.00
1978    33    1945      2337.00
1978    34    1944      2582.00
1978    35    1943      2087.00
1978    36    1942      1530.00
1978    37    1941      1554.00
1978    38    1940      1085.00
1978    39    1939       907.00
1978    40    1938       608.00
1978    41    1937       388.00
1978    42    1936       267.00
1978    43    1935       164.00
1978    44    1934        76.00
1978    45    1933        46.00
1978    46    1932        23.92
1978    47    1931        15.24
1978    48    1930         9.75
1978    49    1929         5.48
1978    50    1928         3.11
1978    51    1927         1.66
1978    52    1926         0.97
1978    53    1925         0.54
1978    54    1924         0.26
1978    55+   1923-        0.08
1979    12-   1967+        0.00
1979    13    1966         0.00
1979    14    1965         0.00
1979    15    1964        96.00
1979    16    1963       543.00
1979    17    1962      2306.00
1979    18    1961      7213.00
1979    19    1960     14950.00
1979    20    1959     21339.00
1979    21    1958     22718.00
1979    22    1957     23366.00
1979    23    1956     23287.00
1979    24    1955     22260.00
1979    25    1954     19654.00
1979    26    1953     17037.00
1979    27    1952     14140.00
1979    28    1951     11563.00
1979    29    1950      8904.00
1979    30    1949      6397.00
1979    31    1948      4199.00
1979    32    1947      3352.00
1979    33    1946      1979.00
1979    34    1945      1792.00
1979    35    1944      1916.00
1979    36    1943      1589.00
1979    37    1942      1169.00
1979    38    1941      1056.00
1979    39    1940       796.00
1979    40    1939       586.00
1979    41    1938       399.00
1979    42    1937       257.00
1979    43    1936       151.00
1979    44    1935       100.00
1979    45    1934        63.00
1979    46    1933        23.16
1979    47    1932        13.65
1979    48    1931         8.13
1979    49    1930         5.02
1979    50    1929         2.78
1979    51    1928         1.59
1979    52    1927         0.86
1979    53    1926         0.49
1979    54    1925         0.26
1979    55+   1924-        0.08
1980    12-   1968+        0.00
1980    13    1967         0.00
1980    14    1966         0.00
1980    15    1965       110.00
1980    16    1964       617.00
1980    17    1963      2419.00
1980    18    1962      7331.00
1980    19    1961     16256.00
1980    20    1960     23193.00
1980    21    1959     25763.00
1980    22    1958     24389.00
1980    23    1957     23386.00
1980    24    1956     21900.00
1980    25    1955     20010.00
1980    26    1954     17296.00
1980    27    1953     14334.00
1980    28    1952     11702.00
1980    29    1951      9405.00
1980    30    1950      7229.00
1980    31    1949      5036.00
1980    32    1948      3466.00
1980    33    1947      2621.00
1980    34    1946      1576.00
1980    35    1945      1343.00
1980    36    1944      1478.00
1980    37    1943      1110.00
1980    38    1942       856.00
1980    39    1941       755.00
1980    40    1940       535.00
1980    41    1939       404.00
1980    42    1938       259.00
1980    43    1937       150.00
1980    44    1936        89.00
1980    45    1935        46.00
1980    46    1934        28.56
1980    47    1933        15.67
1980    48    1932         9.83
1980    49    1931         6.03
1980    50    1930         3.74
1980    51    1929         2.06
