Germany, Live births by birth cohort and age (horizontal parallelograms, age in completed years (ACY))
Last modified: 04/02/2019
Cohort  Age        Total
1905     24            .
1905     25            .
1905     26            .
1905     27            .
1905     28            .
1905     29            .
1905     30            .
1905     31            .
1905     32            .
1905     33            .
1905     34            .
1905     35            .
1905     36            .
1905     37            .
1905     38            .
1905     39            .
1905     40            .
1905     41            .
1905     42            .
1905     43            .
1905     44            .
1905     45            .
1905     46            .
1905     47            .
1905     48            .
1905     49            .
1905     50            .
1905     51        15.62
1905     52         7.97
1905     53         3.79
1905     54         1.59
1905     55+        0.20
1906     12-           .
1906     13            .
1906     14            .
1906     15            .
1906     16            .
1906     17            .
1906     18            .
1906     19            .
1906     20            .
1906     21            .
1906     22            .
1906     23            .
1906     24            .
1906     25            .
1906     26            .
1906     27            .
1906     28            .
1906     29            .
1906     30            .
1906     31            .
1906     32            .
1906     33            .
1906     34            .
1906     35            .
1906     36            .
1906     37            .
1906     38            .
1906     39            .
1906     40            .
1906     41            .
1906     42            .
1906     43            .
1906     44            .
1906     45            .
1906     46            .
1906     47            .
1906     48            .
1906     49            .
1906     50        33.71
1906     51        16.90
1906     52         7.93
1906     53         4.00
1906     54         1.66
1906     55+        0.20
1907     12-           .
1907     13            .
1907     14            .
1907     15            .
1907     16            .
1907     17            .
1907     18            .
1907     19            .
1907     20            .
1907     21            .
1907     22            .
1907     23            .
1907     24            .
1907     25            .
1907     26            .
1907     27            .
1907     28            .
1907     29            .
1907     30            .
1907     31            .
1907     32            .
1907     33            .
1907     34            .
1907     35            .
1907     36            .
1907     37            .
1907     38            .
1907     39            .
1907     40            .
1907     41            .
1907     42            .
1907     43            .
1907     44            .
1907     45            .
1907     46            .
1907     47            .
1907     48            .
1907     49        71.42
1907     50        35.25
1907     51        16.09
1907     52         8.03
1907     53         4.01
1907     54         1.67
1907     55+        0.21
1908     12-           .
1908     13            .
1908     14            .
1908     15            .
1908     16            .
1908     17            .
1908     18            .
1908     19            .
1908     20            .
1908     21            .
1908     22            .
1908     23            .
1908     24            .
1908     25            .
1908     26            .
1908     27            .
1908     28            .
1908     29            .
1908     30            .
1908     31            .
1908     32            .
1908     33            .
1908     34            .
1908     35            .
1908     36            .
1908     37            .
1908     38            .
1908     39            .
1908     40            .
1908     41            .
1908     42            .
1908     43            .
1908     44            .
1908     45            .
1908     46            .
1908     47            .
1908     48       154.60
1908     49        76.01
1908     50        33.87
1908     51        16.55
1908     52         8.14
1908     53         4.05
1908     54         1.75
1908     55+        0.22
1909     12-           .
1909     13            .
1909     14            .
1909     15            .
1909     16            .
1909     17            .
1909     18            .
1909     19            .
1909     20            .
1909     21            .
1909     22            .
1909     23            .
1909     24            .
1909     25            .
1909     26            .
1909     27            .
1909     28            .
1909     29            .
1909     30            .
1909     31            .
1909     32            .
1909     33            .
1909     34            .
1909     35            .
1909     36            .
1909     37            .
1909     38            .
1909     39            .
1909     40            .
1909     41            .
1909     42            .
1909     43            .
1909     44            .
1909     45            .
1909     46            .
1909     47       321.01
1909     48       159.88
1909     49        70.75
1909     50        33.85
1909     51        16.18
1909     52         7.83
1909     53         4.11
1909     54         1.81
1909     55+        0.23
1910     12-           .
1910     13            .
1910     14            .
1910     15            .
1910     16            .
1910     17            .
1910     18            .
1910     19            .
1910     20            .
1910     21            .
1910     22            .
1910     23            .
1910     24            .
1910     25            .
1910     26            .
1910     27            .
1910     28            .
1910     29            .
1910     30            .
1910     31            .
1910     32            .
1910     33            .
1910     34            .
1910     35            .
1910     36            .
1910     37            .
1910     38            .
1910     39            .
1910     40            .
1910     41            .
1910     42            .
1910     43            .
1910     44            .
1910     45            .
1910     46       613.09
1910     47       319.88
1910     48       144.17
1910     49        68.48
1910     50        31.79
1910     51        14.66
1910     52         7.57
1910     53         4.12
1910     54         1.80
1910     55+        0.21
1911     12-           .
1911     13            .
1911     14            .
1911     15            .
1911     16            .
1911     17            .
1911     18            .
1911     19            .
1911     20            .
1911     21            .
1911     22            .
1911     23            .
1911     24            .
1911     25            .
1911     26            .
1911     27            .
1911     28            .
1911     29            .
1911     30            .
1911     31            .
1911     32            .
1911     33            .
1911     34            .
1911     35            .
1911     36            .
1911     37            .
1911     38            .
1911     39            .
1911     40            .
1911     41            .
1911     42            .
1911     43            .
1911     44            .
1911     45      1296.81
1911     46       585.15
1911     47       280.40
1911     48       134.73
1911     49        61.52
1911     50        27.28
1911     51        13.52
1911     52         7.36
1911     53         4.00
1911     54         1.60
1911     55+        0.18
1912     12-           .
1912     13            .
1912     14            .
1912     15            .
1912     16            .
1912     17            .
1912     18            .
1912     19            .
1912     20            .
1912     21            .
1912     22            .
1912     23            .
1912     24            .
1912     25            .
1912     26            .
1912     27            .
1912     28            .
1912     29            .
1912     30            .
1912     31            .
1912     32            .
1912     33            .
1912     34            .
1912     35            .
1912     36            .
1912     37            .
1912     38            .
1912     39            .
1912     40            .
1912     41            .
1912     42            .
1912     43            .
1912     44      2754.31
1912     45      1291.05
1912     46       570.88
1912     47       287.94
1912     48       131.90
1912     49        56.61
1912     50        26.77
1912     51        14.22
1912     52         7.90
1912     53         3.94
1912     54         1.50
1912     55+        0.17
1913     12-           .
1913     13            .
1913     14            .
1913     15            .
1913     16            .
1913     17            .
1913     18            .
1913     19            .
1913     20            .
1913     21            .
1913     22            .
1913     23            .
1913     24            .
1913     25            .
1913     26            .
1913     27            .
1913     28            .
1913     29            .
1913     30            .
1913     31            .
1913     32            .
1913     33            .
1913     34            .
1913     35            .
1913     36            .
1913     37            .
1913     38            .
1913     39            .
1913     40            .
1913     41            .
1913     42            .
1913     43      4515.61
1913     44      2581.33
1913     45      1215.02
1913     46       541.53
1913     47       258.72
1913     48       111.53
1913     49        50.65
1913     50        25.98
1913     51        14.46
1913     52         7.45
1913     53         3.47
1913     54         1.35
1913     55+        0.16
1914     12-           .
1914     13            .
1914     14            .
1914     15            .
1914     16            .
1914     17            .
1914     18            .
1914     19            .
1914     20            .
1914     21            .
1914     22            .
1914     23            .
1914     24            .
1914     25            .
1914     26            .
1914     27            .
1914     28            .
1914     29            .
1914     30            .
1914     31            .
1914     32            .
1914     33            .
1914     34            .
1914     35            .
1914     36            .
1914     37            .
1914     38            .
1914     39            .
1914     40            .
1914     41            .
1914     42      6848.87
1914     43      4220.66
1914     44      2411.40
1914     45      1175.29
1914     46       490.28
1914     47       222.51
1914     48        98.88
1914     49        49.10
1914     50        27.01
1914     51        14.07
1914     52         6.68
1914     53         3.18
1914     54         1.27
1914     55+        0.15
1915     12-           .
1915     13            .
1915     14            .
1915     15            .
1915     16            .
1915     17            .
1915     18            .
1915     19            .
1915     20            .
1915     21            .
1915     22            .
1915     23            .
1915     24            .
1915     25            .
1915     26            .
1915     27            .
1915     28            .
1915     29            .
1915     30            .
1915     31            .
1915     32            .
1915     33            .
1915     34            .
1915     35            .
1915     36            .
1915     37            .
1915     38            .
1915     39            .
1915     40            .
1915     41      7524.16
1915     42      5016.91
1915     43      3058.37
1915     44      1767.06
1915     45       830.94
1915     46       346.17
1915     47       156.38
1915     48        75.97
1915     49        41.00
1915     50        21.36
1915     51        10.15
1915     52         4.86
1915     53         2.35
1915     54         0.93
1915     55+        0.11
1916     12-           .
1916     13            .
1916     14            .
1916     15            .
1916     16            .
1916     17            .
1916     18            .
1916     19            .
1916     20            .
1916     21            .
1916     22            .
1916     23            .
1916     24            .
1916     25            .
1916     26            .
1916     27            .
1916     28            .
1916     29            .
1916     30            .
1916     31            .
1916     32            .
1916     33            .
1916     34            .
1916     35            .
1916     36            .
1916     37            .
1916     38            .
1916     39            .
1916     40      7599.37
1916     41      5491.70
1916     42      3742.03
1916     43      2360.83
1916     44      1354.77
1916     45       621.59
1916     46       237.53
1916     47       115.87
1916     48        61.28
1916     49        31.72
1916     50        15.01
1916     51         7.14
1916     52         3.46
1916     53         1.68
1916     54         0.66
1916     55+        0.08
1917     12-           .
1917     13            .
1917     14            .
1917     15            .
1917     16            .
1917     17            .
1917     18            .
1917     19            .
1917     20            .
1917     21            .
1917     22            .
1917     23            .
1917     24            .
1917     25            .
1917     26            .
1917     27            .
1917     28            .
1917     29            .
1917     30            .
1917     31            .
1917     32            .
1917     33            .
1917     34            .
1917     35            .
1917     36            .
1917     37            .
1917     38            .
1917     39      8849.50
1917     40      6695.82
1917     41      4794.04
1917     42      3259.56
1917     43      1986.98
1917     44      1126.39
1917     45       514.30
1917     46       214.07
1917     47       111.88
1917     48        57.14
1917     49        26.99
1917     50        12.73
1917     51         6.11
1917     52         2.98
1917     53         1.43
1917     54         0.56
1917     55+        0.06
1918     12-           .
1918     13            .
1918     14            .
1918     15            .
1918     16            .
1918     17            .
1918     18            .
1918     19            .
1918     20            .
1918     21            .
1918     22            .
1918     23            .
1918     24            .
1918     25            .
1918     26            .
1918     27            .
1918     28            .
1918     29            .
1918     30            .
1918     31            .
1918     32            .
1918     33            .
1918     34            .
1918     35            .
1918     36            .
1918     37            .
1918     38     11177.43
1918     39      8887.70
1918     40      6884.24
1918     41      5025.95
1918     42      3383.44
1918     43      2097.51
1918     44      1207.27
1918     45       565.18
1918     46       238.37
1918     47       120.00
1918     48        56.82
1918     49        26.80
1918     50        12.71
1918     51         6.15
1918     52         2.97
1918     53         1.37
1918     54         0.52
1918     55+        0.06
1919     12-           .
1919     13            .
1919     14            .
1919     15            .
1919     16            .
1919     17            .
1919     18            .
1919     19            .
1919     20            .
1919     21            .
1919     22            .
1919     23            .
1919     24            .
1919     25            .
1919     26            .
1919     27            .
1919     28            .
1919     29            .
1919     30            .
1919     31            .
1919     32            .
1919     33            .
1919     34            .
1919     35            .
1919     36            .
1919     37     20602.69
1919     38     16883.32
1919     39     13525.67
1919     40     10558.28
1919     41      7605.65
1919     42      5153.33
1919     43      3265.14
1919     44      1915.09
1919     45       870.62
1919     46       355.22
1919     47       170.99
1919     48        81.83
1919     49        38.74
1919     50        18.64
1919     51         8.93
1919     52         4.08
1919     53         1.89
1919     54         0.74
1919     55+        0.09
1920     12-           .
1920     13            .
1920     14            .
1920     15            .
1920     16            .
1920     17            .
1920     18            .
1920     19            .
1920     20            .
1920     21            .
1920     22            .
1920     23            .
1920     24            .
1920     25            .
1920     26            .
1920     27            .
1920     28            .
1920     29            .
1920     30            .
1920     31            .
1920     32            .
1920     33            .
1920     34            .
1920     35            .
1920     36     31464.11
1920     37     26257.13
1920     38     21650.84
1920     39     17192.99
1920     40     13096.05
1920     41      9526.81
1920     42      6381.98
1920     43      4005.09
1920     44      2304.42
1920     45      1043.02
1920     46       428.85
1920     47       214.76
1920     48       103.03
1920     49        49.77
1920     50        23.69
1920     51        10.61
1920     52         4.92
1920     53         2.32
1920     54         0.95
1920     55+        0.11
1921     12-           .
1921     13            .
1921     14            .
1921     15            .
1921     16            .
1921     17            .
1921     18            .
1921     19            .
1921     20            .
1921     21            .
1921     22            .
1921     23            .
1921     24            .
1921     25            .
1921     26            .
1921     27            .
1921     28            .
1921     29            .
1921     30            .
1921     31            .
1921     32            .
1921     33            .
1921     34            .
1921     35     36412.15
1921     36     31051.64
1921     37     26314.67
1921     38     21785.40
1921     39     17050.81
1921     40     12944.46
1921     41      9273.65
1921     42      6424.70
1921     43      3984.12
1921     44      2171.37
1921     45       967.83
1921     46       399.00
1921     47       201.00
1921     48        98.97
1921     49        47.22
1921     50        20.81
1921     51         9.50
1921     52         4.44
1921     53         2.21
1921     54         0.89
1921     55+        0.11
1922     12-           .
1922     13            .
1922     14            .
1922     15            .
1922     16            .
1922     17            .
1922     18            .
1922     19            .
1922     20            .
1922     21            .
1922     22            .
1922     23            .
1922     24            .
1922     25            .
1922     26            .
1922     27            .
1922     28            .
1922     29            .
1922     30            .
1922     31            .
1922     32            .
1922     33            .
1922     34     39133.16
1922     35     34052.38
1922     36     29405.94
1922     37     24973.08
1922     38     20424.86
1922     39     16122.30
1922     40     12178.53
1922     41      8937.15
1922     42      5945.41
1922     43      3549.03
1922     44      1993.51
1922     45       887.55
1922     46       351.96
1922     47       183.13
1922     48        89.03
1922     49        39.25
1922     50        17.67
1922     51         8.08
1922     52         4.00
1922     53         1.96
1922     54         0.83
1922     55+        0.10
1923     12-           .
1923     13            .
1923     14            .
1923     15            .
1923     16            .
1923     17            .
1923     18            .
1923     19            .
1923     20            .
1923     21            .
1923     22            .
1923     23            .
1923     24            .
1923     25            .
1923     26            .
1923     27            .
1923     28            .
1923     29            .
1923     30            .
1923     31            .
1923     32            .
1923     33     42199.63
1923     34     37282.48
1923     35     32690.14
1923     36     28163.64
1923     37     23454.93
1923     38     19086.94
1923     39     14999.41
1923     40     11596.81
1923     41      8192.67
1923     42      5269.07
1923     43      3133.21
1923     44      1765.14
1923     45       776.45
1923     46       320.59
1923     47       164.44
1923     48        74.42
1923     49        33.45
1923     50        14.92
1923     51         7.25
1923     52         3.55
1923     53         1.83
1923     54         0.78
1923     55+        0.09
1924     12-           .
1924     13            .
1924     14            .
1924     15            .
1924     16            .
1924     17            .
1924     18            .
1924     19            .
1924     20            .
1924     21            .
1924     22            .
1924     23            .
1924     24            .
1924     25            .
1924     26            .
1924     27            .
1924     28            .
1924     29            .
1924     30            .
1924     31            .
1924     32     47142.74
1924     33     41737.65
1924     34     36795.32
1924     35     32087.34
1924     36     27483.42
1924     37     22896.00
1924     38     18486.13
1924     39     14830.95
1924     40     11243.44
1924     41      7823.66
1924     42      4967.18
1924     43      2967.45
1924     44      1640.97
1924     45       718.87
1924     46       299.27
1924     47       145.77
1924     48        66.72
1924     49        29.45
1924     50        14.00
1924     51         6.71
1924     52         3.50
1924     53         1.82
1924     54         0.79
1924     55+        0.11
1925     12-           .
1925     13            .
1925     14            .
1925     15            .
1925     16            .
1925     17            .
1925     18            .
1925     19            .
1925     20            .
1925     21            .
1925     22            .
1925     23            .
1925     24            .
1925     25            .
1925     26            .
1925     27            .
1925     28            .
1925     29            .
1925     30            .
1925     31     52391.78
1925     32     47081.45
1925     33     42114.24
1925     34     37027.72
1925     35     32124.32
1925     36     27426.23
1925     37     22804.32
1925     38     18709.97
1925     39     14591.65
1925     40     10733.62
1925     41      7131.89
1925     42      4562.08
1925     43      2777.57
1925     44      1491.97
1925     45       655.52
1925     46       276.44
1925     47       134.11
1925     48        59.84
1925     49        28.06
1925     50        13.14
1925     51         6.76
1925     52         3.54
1925     53         1.91
1925     54         0.87
1925     55+        0.11
1926     12-           .
1926     13            .
1926     14            .
1926     15            .
1926     16            .
1926     17            .
1926     18            .
1926     19            .
1926     20            .
1926     21            .
1926     22            .
1926     23            .
1926     24            .
1926     25            .
1926     26            .
1926     27            .
1926     28            .
1926     29            .
1926     30     55943.53
1926     31     50682.34
1926     32     45673.02
1926     33     40355.47
1926     34     35258.35
1926     35     30575.89
1926     36     25925.65
1926     37     22045.62
1926     38     17680.94
1926     39     13494.84
1926     40      9740.55
1926     41      6608.06
1926     42      4238.50
1926     43      2448.93
1926     44      1305.58
1926     45       590.70
1926     46       239.81
1926     47       112.81
1926     48        53.06
1926     49        24.50
1926     50        12.40
1926     51         6.42
1926     52         3.49
1926     53         1.97
1926     54         0.81
1926     55+        0.10
1927     12-           .
1927     13            .
1927     14            .
1927     15            .
1927     16            .
1927     17            .
1927     18            .
1927     19            .
1927     20            .
1927     21            .
1927     22            .
1927     23            .
1927     24            .
1927     25            .
1927     26            .
1927     27            .
1927     28            .
1927     29     58793.75
1927     30     53661.53
1927     31     49008.72
1927     32     43797.52
1927     33     38564.51
1927     34     33829.30
1927     35     29087.99
1927     36     25179.86
1927     37     20661.89
1927     38     16297.67
1927     39     12323.61
1927     40      8865.39
1927     41      6040.19
1927     42      3810.43
1927     43      2209.40
1927     44      1176.09
1927     45       502.14
1927     46       202.76
1927     47        98.99
1927     48        45.80
1927     49        22.94
1927     50        11.67
1927     51         6.30
1927     52         3.63
1927     53         1.84
1927     54         0.71
1927     55+        0.08
1928     12-           .
1928     13            .
1928     14            .
1928     15            .
1928     16            .
1928     17            .
1928     18            .
1928     19            .
1928     20            .
1928     21            .
1928     22            .
1928     23            .
1928     24            .
1928     25            .
1928     26            .
1928     27            .
1928     28     65275.76
1928     29     60323.42
1928     30     55773.39
1928     31     50827.14
1928     32     45010.16
1928     33     39594.45
1928     34     34442.22
1928     35     30156.48
1928     36     25204.60
1928     37     20507.43
1928     38     16160.65
1928     39     12138.18
1928     40      8687.74
1928     41      5812.10
1928     42      3718.46
1928     43      2126.97
1928     44      1033.57
1928     45       451.91
1928     46       190.51
1928     47        91.32
1928     48        45.81
1928     49        23.05
1928     50        12.24
1928     51         7.11
1928     52         3.65
1928     53         1.72
1928     54         0.65
1928     55+        0.08
1929     12-           .
1929     13            .
1929     14            .
1929     15            .
1929     16            .
1929     17            .
1929     18            .
1929     19            .
1929     20            .
1929     21            .
1929     22            .
1929     23            .
1929     24            .
1929     25            .
1929     26            .
1929     27     68435.74
1929     28     64683.40
1929     29     60424.62
1929     30     55427.47
1929     31     50071.74
1929     32     44502.99
1929     33     38934.49
1929     34     34276.86
1929     35     29179.36
1929     36     24172.37
1929     37     19522.62
1929     38     15320.61
1929     39     11369.29
1929     40      7894.02
1929     41      5333.27
1929     42      3366.21
1929     43      1846.52
1929     44       925.00
1929     45       397.94
1929     46       167.87
1929     47        86.79
1929     48        43.72
1929     49        22.92
1929     50        13.29
1929     51         6.84
1929     52         3.24
1929     53         1.49
1929     54         0.60
1929     55+        0.07
1930     12-           .
1930     13            .
1930     14            .
1930     15            .
1930     16            .
1930     17            .
1930     18            .
1930     19            .
1930     20            .
1930     21            .
1930     22            .
1930     23            .
1930     24            .
1930     25            .
1930     26     72840.47
1930     27     69518.57
1930     28     66454.39
1930     29     61814.72
1930     30     56185.60
1930     31     50322.90
1930     32     44727.91
1930     33     39993.77
1930     34     34131.69
1930     35     28890.82
1930     36     23800.75
1930     37     18860.71
1930     38     14762.01
1930     39     10743.62
1930     40      7542.70
1930     41      4999.09
1930     42      2961.68
1930     43      1662.91
1930     44       844.30
1930     45       367.90
1930     46       163.80
1930     47        84.94
1930     48        44.30
1930     49        25.64
1930     50        13.24
1930     51         6.22
1930     52         2.87
1930     53         1.41
1930     54         0.57
1930     55+        0.07
1931     12-           .
1931     13            .
1931     14            .
1931     15            .
1931     16            .
1931     17            .
1931     18            .
1931     19            .
1931     20            .
1931     21            .
1931     22            .
1931     23            .
1931     24            .
1931     25     70654.42
1931     26     68963.57
1931     27     67015.65
1931     28     63244.72
1931     29     58236.32
1931     30     53217.34
1931     31     47594.26
1931     32     42854.30
1931     33     37016.84
1931     34     31269.48
1931     35     26249.51
1931     36     21395.02
1931     37     17121.81
1931     38     13047.87
1931     39      9376.00
1931     40      6526.91
1931     41      4106.78
1931     42      2466.01
1931     43      1390.78
1931     44       716.51
1931     45       327.24
1931     46       145.48
1931     47        77.06
1931     48        44.63
1931     49        23.30
1931     50        10.92
1931     51         4.96
1931     52         2.45
1931     53         1.20
1931     54         0.52
1931     55+        0.07
1932     12-           .
1932     13            .
1932     14            .
1932     15            .
1932     16            .
1932     17            .
1932     18            .
1932     19            .
1932     20            .
1932     21            .
1932     22            .
1932     23            .
1932     24     69367.75
1932     25     69000.40
1932     26     68448.38
1932     27     65974.92
1932     28     61801.87
1932     29     56944.31
1932     30     51740.31
1932     31     46837.10
1932     32     40687.37
1932     33     34935.83
1932     34     29553.66
1932     35     24487.67
1932     36     19848.01
1932     37     15544.17
1932     38     11842.19
1932     39      8493.12
1932     40      5553.19
1932     41      3539.84
1932     42      2168.03
1932     43      1243.36
1932     44       679.80
1932     45       302.56
1932     46       133.72
1932     47        78.48
1932     48        42.07
1932     49        19.93
1932     50         8.95
1932     51         4.40
1932     52         2.19
1932     53         1.15
1932     54         0.51
1932     55+        0.06
1933     12-           .
1933     13            .
1933     14            .
1933     15            .
1933     16            .
1933     17            .
1933     18            .
1933     19            .
1933     20            .
1933     21            .
1933     22            .
1933     23     67278.01
1933     24     68642.82
1933     25     70171.90
1933     26     69146.26
1933     27     65811.25
1933     28     61392.74
1933     29     56490.87
1933     30     51896.26
1933     31     45409.30
1933     32     39439.70
1933     33     33727.22
1933     34     28024.19
1933     35     23069.95
1933     36     18364.34
1933     37     14239.15
1933     38     10563.97
1933     39      7219.14
1933     40      4776.53
1933     41      3114.89
1933     42      1899.03
1933     43      1100.77
1933     44       587.07
1933     45       270.24
1933     46       132.33
1933     47        74.71
1933     48        36.58
1933     49        16.49
1933     50         8.05
1933     51         3.95
1933     52         2.12
1933     53         1.16
1933     54         0.52
1933     55+        0.07
1934     12-           .
1934     13            .
1934     14            .
1934     15            .
1934     16            .
1934     17            .
1934     18            .
1934     19            .
1934     20            .
1934     21            .
1934     22     78027.60
1934     23     82232.76
1934     24     86410.88
1934     25     87390.42
1934     26     85304.95
1934     27     80994.78
1934     28     75550.76
1934     29     69952.62
1934     30     61847.00
1934     31     53964.05
1934     32     46318.07
1934     33     38710.50
1934     34     32125.21
1934     35     25671.68
1934     36     20036.29
1934     37     14999.37
1934     38     10514.16
1934     39      7379.26
1934     40      4954.13
1934     41      3173.25
1934     42      1957.47
1934     43      1076.42
1934     44       534.59
1934     45       278.45
1934     46       153.08
1934     47        80.23
1934     48        37.24
1934     49        18.22
1934     50         8.86
1934     51         4.76
1934     52         2.65
1934     53         1.45
1934     54         0.66
1934     55+        0.09
1935     12-           .
1935     13            .
1935     14            .
1935     15            .
1935     16            .
1935     17            .
1935     18            .
1935     19            .
1935     20            .
1935     21     72494.50
1935     22     80886.63
1935     23     88451.98
1935     24     92779.24
1935     25     93391.65
1935     26     90575.88
1935     27     85662.70
1935     28     80415.49
1935     29     72290.41
1935     30     64069.69
1935     31     55169.15
1935     32     45877.59
1935     33     37989.14
1935     34     30770.04
1935     35     24404.14
1935     36     18722.37
1935     37     13174.34
1935     38      9287.85
1935     39      6609.79
1935     40      4496.47
1935     41      2909.06
1935     42      1760.64
1935     43       975.70
1935     44       520.60
1935     45       279.29
1935     46       143.05
1935     47        71.43
1935     48        35.58
1935     49        17.33
1935     50         9.25
1935     51         5.15
1935     52         2.84
1935     53         1.61
1935     54         0.62
1935     55+        0.05
1936     12-           .
1936     13            .
1936     14            .
1936     15            .
1936     16            .
1936     17            .
1936     18            .
1936     19            .
1936     20     60357.35
1936     21     72691.14
1936     22     84141.58
1936     23     91417.62
1936     24     95363.66
1936     25     95540.29
1936     26     93424.60
1936     27     88659.28
1936     28     80196.00
1936     29     72219.04
1936     30     63557.88
1936     31     53524.53
1936     32     44536.53
1936     33     35906.66
1936     34     28480.20
1936     35     22032.33
1936     36     16103.85
1936     37     11687.15
1936     38      8468.89
1936     39      6014.24
1936     40      4082.62
1936     41      2611.03
1936     42      1550.04
1936     43       890.06
1936     44       517.28
1936     45       264.90
1936     46       124.13
1936     47        65.19
1936     48        32.31
1936     49        17.28
1936     50         9.58
1936     51         5.25
1936     52         3.01
1936     53         1.42
1936     54         0.64
1936     55+        0.13
1937     12-           .
1937     13            .
1937     14            .
1937     15            .
1937     16            .
1937     17            .
1937     18            .
1937     19     44945.32
1937     20     60236.57
1937     21     74809.54
1937     22     86522.64
1937     23     93989.59
1937     24     96431.52
1937     25     97114.26
1937     26     94849.62
1937     27     87969.34
1937     28     80038.01
1937     29     71215.90
1937     30     60746.65
1937     31     50780.58
1937     32     41025.04
1937     33     32769.77
1937     34     25654.99
1937     35     18907.53
1937     36     14077.21
1937     37     10409.15
1937     38      7733.38
1937     39      5577.74
1937     40      3643.85
1937     41      2291.92
1937     42      1455.76
1937     43       879.46
1937     44       495.92
1937     45       247.23
1937     46       111.29
1937     47        58.30
1937     48        31.65
1937     49        17.62
1937     50         9.62
1937     51         5.49
1937     52         2.62
1937     53         1.52
1937     54         1.13
1937     55+        0.16
1938     12-           .
1938     13            .
1938     14            .
1938     15            .
1938     16            .
1938     17            .
1938     18     28286.46
1938     19     47116.75
1938     20     65642.80
1938     21     81040.78
1938     22     93602.69
1938     23    100579.54
1938     24    104620.38
1938     25    104767.25
1938     26     99214.56
1938     27     92278.36
1938     28     83429.52
1938     29     71984.59
1938     30     60738.84
1938     31     49553.47
1938     32     39841.32
1938     33     31412.56
1938     34     23325.41
1938     35     17671.90
1938     36     13478.73
1938     37     10168.44
1938     38      7587.57
1938     39      5320.49
1938     40      3610.92
1938     41      2408.70
1938     42      1549.00
1938     43       899.64
1938     44       496.18
1938     45       233.99
1938     46       104.94
1938     47        59.69
1938     48        33.84
1938     49        18.61
1938     50        10.51
1938     51         4.95
1938     52         2.96
1938     53         2.84
1938     54         1.37
1938     55+        0.17
1939     12-           .
1939     13            .
1939     14            .
1939     15            .
1939     16            .
1939     17     13157.76
1939     18     30070.02
1939     19     51918.54
1939     20     72377.93
1939     21     89361.00
1939     22    101001.89
1939     23    109519.78
1939     24    112545.95
1939     25    109754.67
1939     26    104777.15
1939     27     96320.58
1939     28     84458.15
1939     29     72249.55
1939     30     59556.47
1939     31     47985.01
1939     32     38023.66
1939     33     28671.23
1939     34     21953.29
1939     35     17105.32
1939     36     13162.49
1939     37     10026.61
